,max_Df_complete
ENO,31.128720981565007
MCL,65.64654929302502
MTK,89.18616294469501
GlyR,95.75744196313002
GCC,91.08616294469502
MDHII,81.15744196313001
GCS,90.18616294469501
PPC1,59.5287219815651
GLYCK2,38.22872198156508
TCR,106.77527227459038
